2025-06-09 20:12:34 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 20:12:36 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 4 | Page Views: 0
2025-06-09 20:13:34 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 20:13:36 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 4 | Page Views: 0
2025-06-09 20:14:34 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 20:14:36 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 4 | Page Views: 0
2025-06-09 20:15:34 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 20:15:36 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 4 | Page Views: 0
2025-06-09 20:16:34 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 20:16:36 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 4 | Page Views: 0
2025-06-09 20:17:34 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 20:17:36 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 4 | Page Views: 0
2025-06-09 20:18:34 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 20:18:36 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 4 | Page Views: 0
2025-06-09 20:19:34 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 20:19:36 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 4 | Page Views: 0
2025-06-09 20:20:34 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 20:20:36 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 4 | Page Views: 0
2025-06-09 20:21:34 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 20:21:36 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 4 | Page Views: 0
2025-06-09 20:22:34 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 20:22:36 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 4 | Page Views: 0
2025-06-09 20:23:34 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 20:23:36 | INFO | STATS | Active: 1 | Last 1min: 1 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 5 | Page Views: 0
2025-06-09 20:24:34 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 20:24:36 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 5 | Page Views: 0
